Date,oil_price,Inflation Rate,uncertain_rate,election Weight,Government_Change,Party_In_Office,DXY_Close
2000/1/1,25.63333333,2.7,89,0,0,0,105.129997
2000/2/1,28.03047619,3.2,78,0,0,0,105.919998
2000/3/1,27.49434783,3.8,78,0,0,0,105.440002
2000/4/1,23.1535,3.1,76,0,0,0,110.139999
2000/5/1,27.80521739,3.2,98,0,0,0,108.739998
2000/6/1,30.48318182,3.7,93,0,0,0,106.839996
2000/7/1,28.89428571,3.7,79,0,0,0,109.57
2000/8/1,31.62913043,3.4,67,0.25,0,0,112.599998
2000/9/1,33.36047619,3.5,75,0.5,0,0,113.25
2000/10/1,31.30272727,3.4,85,0.75,0,0,116.650002
2000/11/1,32.88090909,3.4,125,1,0,0,115.239998
2000/12/1,25.47571429,3.4,115,0.75,0,0,109.559998
2001/1/1,25.79,3.7,111,0.6,1,1,110.519997
2001/2/1,27.8965,3.5,111,0.5,0,1,112.010002
2001/3/1,25.03454545,2.9,116,0.4,0,1,117.370003
2001/4/1,26.01809524,3.3,123,0.3,0,1,115.849998
2001/5/1,28.43826087,3.6,100,0.2,0,1,119.07
2001/6/1,28.00380952,3.2,86,0,0,1,119.43
2001/7/1,24.99136364,2.7,102,0,0,1,117.18
2001/8/1,25.73608696,2.7,84,0,0,1,113.419998
2001/9/1,25.837,2.6,188,0,0,1,113.480003
2001/10/1,21.0326087,2.1,173,0,0,1,114.860001
2001/11/1,19.10545455,1.9,131,0,0,1,116.129997
2001/12/1,18.68142857,1.6,117,0,0,1,116.75
2002/1/1,20.03304348,1.1,117,0,0,1,120.239998
2002/2/1,20.545,1.1,88,0,0,1,119.160004
2002/3/1,24.00095238,1.5,83,0,0,1,118.620003
2002/4/1,25.94545455,1.6,89,0,0,1,115.190002
2002/5/1,25.54956522,1.2,86,0,0,1,111.809998
2002/6/1,24.368,1.1,94,0,0,1,106.110001
2002/7/1,25.85782609,1.5,110,0,0,1,107.410004
2002/8/1,26.62,1.8,116,0,0,1,106.980003
2002/9/1,28.37095238,1.5,124,0,0,1,106.870003
2002/10/1,27.5226087,2,112,0,0,1,106.639999
2002/11/1,24.25047619,2.2,123,0,0,1,106.410004
2002/12/1,28.31727273,2.4,122,0,0,1,101.849998
2003/1/1,30.80869565,2.6,139,0,0,1,99.910004
2003/2/1,32.6625,3,127,0,0,1,99.709999
2003/3/1,30.16809524,3,164,0,0,1,99.059998
2003/4/1,25.035,2.2,136,0,0,1,97.190002
2003/5/1,25.71454545,2.1,103,0,0,1,93.269997
2003/6/1,27.56666667,2.1,96,0,0,1,94.730003
2003/7/1,28.50391304,2.1,92,0,0,1,96.889999
2003/8/1,29.71809524,2.2,96,0,0,1,98.099998
2003/9/1,27.04409091,2.3,106,0,0,1,92.849998
2003/10/1,29.43565217,2,88,0,0,1,92.730003
2003/11/1,28.9485,1.8,85,0,0,1,90.209999
2003/12/1,29.74347826,1.9,92,0,0,1,86.919998
2004/1/1,30.98181818,1.9,97,0,0,1,87.199997
2004/2/1,30.795,1.7,99,0,0,1,87.309998
2004/3/1,33.42434783,1.7,97,0,0,1,87.610001
2004/4/1,33.35772727,2.3,94,0,0,1,90.480003
2004/5/1,37.58904762,3.1,92,0,0,1,88.949997
2004/6/1,35.43772727,3.3,85,0,0,1,88.800003
2004/7/1,38.22681818,3,88,0,0,1,89.959999
2004/8/1,42.22409091,2.7,86,0.25,0,1,88.940002
2004/9/1,43.31590909,2.5,100,0.5,0,1,87.360001
2004/10/1,49.73619048,3.2,106,0.75,0,1,84.910004
2004/11/1,43.74863636,3.5,95,1,0,1,81.82
2004/12/1,39.96565217,3.3,78,0.75,0,1,80.849998
2005/1/1,44.1747619,3,74,0.6,0,1,83.599998
2005/2/1,45.721,3,59,0.5,0,1,82.510002
2005/3/1,53.22913043,3.1,58,0.4,0,1,84.059998
2005/4/1,52.60428571,3.5,75,0.3,0,1,84.43
2005/5/1,49.28545455,2.8,71,0.2,0,1,87.760002
2005/6/1,54.83909091,2.5,75,0,0,1,89.110001
2005/7/1,57.62571429,3.2,69,0,0,1,89.349998
2005/8/1,63.95043478,3.6,64,0,0,1,87.580002
2005/9/1,63.26136364,4.7,91,0,0,1,89.519997
2005/10/1,58.90857143,4.3,76,0,0,1,90.07
